candidate_id	question	domain	major
1	What is close reading, and how do different critical traditions justify close reading as a method?	HUM_Literature	Humanities
2	How do vaccine platform differences (mRNA, viral vector, protein subunit) affect immune response profiles and durability?	NS_Biology	NaturalSciences
3	Why can case-control studies suffer from selection bias, and what design choices reduce bias in practice?	MH_Epidemiology_PublicHealth	MedicineHealth
4	What is the relationship between syntax and semantics, and how do linguistic theories model compositional meaning?	HUM_Linguistics	Humanities
5	What studies evaluate how uncertainty communication in scientific reports affects policy uptake, and what framing choices matter most?	INT_STS	Interdisciplinary
6	How do difference-in-differences designs evaluate public health policies, and what assumptions are required for causal interpretation?	MH_Epidemiology_PublicHealth	MedicineHealth
7	What evidence supports that climate-driven changes in precipitation alter landslide frequency, and how are confounders handled?	NS_EarthScience	NaturalSciences
8	How do coastal ecosystems respond to sea level rise, and what restoration strategies show durable protection benefits?	NS_EnvironmentalScience	NaturalSciences
9	What are common approaches to interpreting primary sources, and how do historians evaluate source credibility and bias?	HUM_History	Humanities
10	What evidence supports that algorithmic impact assessments improve accountability in public-sector automated decision systems?	INT_TechPolicy_Governance	Interdisciplinary
11	Why can software-defined networking control-plane centralization introduce security and scalability tradeoffs in large enterprise networks?	CS_Systems	ComputerScience
12	What factors contribute to burnout in healthcare workers, and what interventions reduce burnout effectively?	MH_MentalHealth	MedicineHealth
13	Why does quantum decoherence limit the maintenance of superposition in macroscopic systems, and how is decoherence modeled experimentally?	NS_Physics	NaturalSciences
14	What evidence supports that minimum wage increases affect employment differently across industries, and what identification strategies are used?	SS_Economics	SocialSciences
15	How do different imaging modalities (MRI, CT, ultrasound) compare for early cancer detection in terms of sensitivity and specificity?	MH_ClinicalMedicine	MedicineHealth
16	How do changes in search-ranking algorithms affect traffic distribution and market power, and what empirical designs estimate the effect?	INT_DigitalSociety	Interdisciplinary
17	How do gravitational wave observations constrain models of compact object formation and merger rates?	NS_Physics	NaturalSciences
18	What evidence links gut microbiome composition to metabolic disease risk, and how robust are findings across cohorts?	NS_Biology	NaturalSciences
19	What governance mechanisms in national AI strategies are associated with measurable increases in public-sector AI transparency and reporting?	INT_TechPolicy_Governance	Interdisciplinary
20	How do cultural studies approaches define ideology, and what methods are used to study ideological reproduction in everyday life?	HUM_CulturalStudies	Humanities
21	What is intertextuality, and how do scholars use it to analyze influence and adaptation across literary works?	HUM_Literature	Humanities
22	What mechanisms explain learning loss during school closures, and which remediation strategies show measurable recovery?	SS_Policy_Law_Edu_Bus	SocialSciences
23	How have historians explained the causes of the Industrial Revolution, and what debates shape current interpretations?	HUM_History	Humanities
24	How do trauma exposures affect long-term mental health, and what protective factors reduce risk?	MH_MentalHealth	MedicineHealth
25	How do electronic health records enable clinical prediction models, and what data quality issues limit model performance?	MH_HealthInformatics	MedicineHealth
26	How do platform governance choices (API access, ranking transparency, moderation rules) influence complementor participation and innovation in platform ecosystems?	INT_DigitalSociety	Interdisciplinary
27	How do QUIC and TCP differ in congestion control behavior on mobile networks, and what empirical evidence supports performance claims?	CS_Systems	ComputerScience
28	How do remote sensing methods measure land deformation, and what limits the accuracy of InSAR measurements?	NS_EarthScience	NaturalSciences
29	What studies quantify rebound effects from energy-efficiency interventions, and how do these effects change estimated net emissions reductions?	INT_Sustainability_Climate	Interdisciplinary
30	How do epigenetic modifications influence gene expression variability, and what experiments establish causal effects?	NS_Biology	NaturalSciences
31	How do gender and sexuality studies analyze identity formation, and what methods support intersectional analysis?	HUM_CulturalStudies	Humanities
32	How do calibration methods affect the reliability of probabilistic outputs from modern classifiers in real-world decision-making?	CS_AI_ML	ComputerScience
33	Why do volcanic eruptions vary in explosivity, and what geophysical signals indicate magma movement?	NS_EarthScience	NaturalSciences
34	How do sociolinguists study language variation, and what methods measure variation across social groups?	HUM_Linguistics	Humanities
35	What evidence supports that mindfulness-based interventions improve anxiety outcomes, and what moderators are identified?	SS_Psychology	SocialSciences
36	How do feminist literary theories analyze gender representation, and what methodological approaches are commonly used?	HUM_Literature	Humanities
37	How do secure enclaves affect the threat model for sensitive computation, and what side-channel risks remain?	CS_Security	ComputerScience
38	What evidence supports induced seismicity links to wastewater injection, and what modeling approaches predict risk?	NS_EarthScience	NaturalSciences
39	Why do microservice architectures create observability challenges compared with monoliths, and what techniques are most effective for tracing?	CS_Systems	ComputerScience
